word,frequency
cowering,1
corner...,2
false:,1
...double,1
diamond...,1
trail...,2
cocktail!,2
convulse.,1
"bleed,",2
Fuck!!!,1
SCORE!,1
Roenick!,1
finesse,1
...against,1
Chelios,1
Roenick...!,1
Bitch...,1
Blackbeard,1
...Christy?,1
"martinis,",2
"stirred,",1
"fifty-nine,",1
Hagen;,1
"Corleone,",8
Anything...Anything,1
Godfather,3
Bonasera.,1
"loyalty,",9
Godfather;,1
murder...for,1
suffers.,1
Bonasera?,1
"Bonasera,",1
coffee...even,1
Barzini.,2
widow?,2
fatherless?,2
Vegas--and,1
"allowance,",3
innocent;,2
Tattaglia,4
Barzini?,1
Barzini,10
"Tattaglia,",1
"Strachi,",1
Cuneo,1
Greene...I,1
Sonny,35
farce,1
Corleone?,4
Santino.,4
Godfather!,1
"Connie...Sure,",1
BA,1
FA,1
GOULE,1
Ba,4
Fa,2
Goulle.,1
least?,8
Carlo?,3
kid...I'll,1
Sollozzo,10
Paulie?,2
"Mall,",1
Tessio's,3
Clemenza's,2
Luca's,2
Clemenza.,1
Understood?,5
Paulie's,3
winter...he,1
less...,5
own;,2
Tom;,5
Consigliere,3
regimes,1
so...gets,1
"Munich,",1
"cow,",4
Avenue;,2
thinking;,1
gate's,1
outside...says,1
package...,1
Paulie...,1
job;,2
terrif,1
Tattaglias,4
No...how,1
"finance,",3
dollars;,2
cash...more,1
generosity?,1
"heroin,",4
poppy,1
laboratories,2
Narseilles,1
"Sicily,",5
production.,7
importing,2
enormous.,4
"signed,",4
Hollywood...Now,1
Pezzonovanta,1
and...my,1
Wedding,2
"Consigliere,",2
Santino,2
misfortune.,4
outfought,1
Sollozzo?,1
Tattaglia.,1
Mention,2
Tattaglia's,2
people;,2
middle-men,1
clean?,11
caporegimes,1
Woltz,2
nonsense?,3
hospital;,2
Consiglere,1
Genco's,1
minutes...leave,1
"son-in-law,",2
bridegroom?,1
godson.,2
"Consiglero,",1
Prostitution,2
terms;,1
called--apologized,1
Judges...they've,1
Virgil,3
Sollozzo.,4
necessary?,7
children...you're,1
safety...,2
games;,1
fender.,2
"""Kill",1
Luca,12
Brasi,3
it...I,8
Brasi.,3
massacres,1
Corleone,19
musicians...and,1
happened;,3
bravery.,1
Enzo,4
"Enzo,",9
repatriated,1
Godfather...,1
He...my,1
daughter...they...,1
"Nazorine,",1
villa,2
Siracuse.,1
changing;,1
Palermo?,2
birthright...but,1
Tommassino...I,1
nothing:,1
vendettas...the,1
street;,1
Palermo.,5
Calo,2
Fabrizzio,1
Villa.,1
Tommassino.,1
Calo?,2
Shhhhh.,3
lupara,1
seeee...By,1
"light...""",1
Pezzonovanta.,1
Pezzonovanta...big,1
morning:,1
Vitelli,1
"Thunderbolt,",1
olives.,2
friend;,3
semi-retired.,1
Consigliere;,1
Fredo.,6
starting!,3
kid;,2
war-,1
"Consiglere,",1
Sicilian.,2
"Genco,",1
hey...hey.,1
stalemate,2
Tom--,1
"operating,",1
raids,1
"Sonny,",22
Newspapers...about,1
McCluskey's,3
Rackets...things,1
informer,2
8:00,1
Louis',4
Restaurant,2
Bronx.,6
McCluskey,4
Sollozzo's,1
Turk's,2
invulnerable.,2
Sonny;,2
outcasts;,1
just...take,1
personal...,2
Consiglere.,1
"discussions,",1
SOLLOZZO.,1
cancels,1
Tattaglias?,1
Bruno?,1
"Tessio,",1
"reserve,",1
yours;,1
"fool-proof,",1
"Sollozzo,",1
1946;,1
dies...make,1
dies?,4
Luca?,1
Luca.,3
Johnny's,12
here...he's,1
go;,5
Good...then,1
try...It's,1
slipping;,1
"Caporegimes,",1
Clemenza,13
Tessio...it's,1
Kraut-Mick,1
pinko,1
Movies.,1
Brothers',2
proteges.,1
training;,1
lessons!,3
dollars--I,1
hard-hearted,2
POSITION,1
CANNOT,1
AFFORD,1
RIDICULOUS!,2
German-Irish.,1
Fontane,1
"Dago,",2
wop,3
Greaseball,1
Goombahs,1
woodwork!,1
all...I,1
politicians?,1
Tessio.,1
weakness...,1
Barzini's,2
Corleones...,1
Consigliere.,1
Bookkeepers,1
Rocco's,1
Lampone's,1
Rocco,3
Lampone,1
regime.,1
Neri,1
caporegime?,1
McCluskey.,1
McCluskey?,1
eat...don't,1
night--we,1
Hampshire...think,1
Ingrid,2
Michael...,14
nun?,10
Hello...this,1
Distance.,1
Hampshire.,6
beforehand,1
Fredo,5
Hagen,2
pen...,1
godson;,1
Fontane.,1
Hagen.,3
"Tom...Tom,",1
Adams.,1
terror,12
suffocated.,1
torso.,2
Capone,5
towels,4
Capone!,1
spaghetti?,1
now...to,1
floor...Can,1
tubes,8
here...I'm,2
interfered,2
Corleone--this,1
Camels,2
informers,2
Insist,1
"Clemenza,",1
room;,2
Sonny...Sonny--Jesus,1
people--no,1
payphone,2
Paulie...we'll,1
Clemenza?,1
Mikey...who,1
man'd,4
there're,8
friend...I,1
clever...all,1
truce...,1
important...I,1
baptized.,4
baptized?,2
renounce,5
Regimes.,1
cheerleaders.,1
waitresses,4
pickings,1
Barzini;,1
bankrolled,1
evened,2
business;,3
dagos.,1
out?...,1
special;,1
Draw,5
can...you,1
squad?,2
civilised.,1
"Fausto,",1
Smith-Kingsley,1
"7.00,",1
Dubious,1
crewing,1
Dickie's,11
Naples.,4
"P,",2
Dickie,39
Sherwood,4
"Marge,",19
vile.,3
Ripley's,7
Uncanny!,1
Herbert,12
Greenleaf,7
1st.,2
nosebleed.,1
Fausto,1
"fishing,",4
gray's,1
Dickie?,8
Mongi?,1
"excruciating,",1
"bewildered,",2
Marge,21
"Silvana,",1
"sax,",4
"drums,",1
"Dickie,",8
leech,4
Marge.,11
ogling,1
"terrace,",1
argument's,1
Italy?,4
drums?,1
Marge!,3
Esatto.,1
plans!,2
Mongi.,5
Mongibello,1
Remo,5
"fiancee,",3
Shoes,2
skiing,10
Forum...?,1
Freddie's.,1
organizing,3
Cortina,4
Freddie?,7
carozza,1
"Forum,",1
Accountant,1
Batistoni.,1
prune,2
"T,",1
Superman.,15
"""Dickie"".",1
ancient.,4
shirt!,2
Ermelinda,2
speculating.,1
icebox,2
ribs!,2
ski?,3
cause!,2
ski.,3
Venice.,10
grandchild?,1
Engaged?,2
Marge...,2
Cinquecento,1
Ts.,1
afternoon!,2
Bird!,2
"jazz,",4
jazz!,2
shipyard.,1
leukemia,1
Horrible.,2
insolent,2
"sail,",1
sail!,2
allowance.,2
Forging,1
signatures.,5
intruding.,3
undercoat.,1
Marge?,5
Hullo.,2
"fog,",4
fog.,9
Sherwood.,2
Marge-maintenance.,1
Capri,1
"Frederico,",1
Festival,4
Madonna.,5
Forum,2
Ciao,1
bello.,1
Frederico!,1
"""delle",1
"Croce,",2
"Corso""?",1
"study,",6
"elbow,",2
Otello's,1
delle,3
Corso.,1
furnished?,1
Dickie.,7
prob,2
cocoon,2
6.30pm.,1
Dickies,1
Otello's.,1
MacCarron,2
"waited,",2
sow,1
oars.,3
confronts,3
photo?,2
"thorough,",2
blanks,3
Mongibello.,1
Remo?,1
Unusual,3
Greenleaf.,7
Greenleaf...,1
enjoyable.,2
"intuition,",2
Remo.,7
MacCarron?,1
tattooed.,1
Greenleaf's,1
libretto,1
Miles',2
Policeman.,2
Ripley?,9
Alvin,2
MacCarron.,1
Athens,1
"rehearsal,",2
rings?,2
grotesque,6
"Meredith,",3
"realities,",2
snooping.,3
mend,7
bra.,6
strap.,1
$1000,1
employing,1
Palazzo,1
Gioia.,1
appalling,2
confronted.,1
Marge's,1
"skiing,",1
"streak,",3
Dickie!,1
Freddie...,1
Cortina?,1
other...?,1
"glorious,",1
ring's,1
Boats,1
Bird.,6
"Back,",4
stretched.,2
Golly.,1
Meredith's,1
"Opera,",1
cryptic,2
thingy,3
textiles...,1
Smith-Kingsley.,1
Smith-Kingsley?,1
Smith-,1
Kingsley?,1
R?,1
co.,2
Joan.,3
Meredith.,3
10.30,1
Steps?,1
Dinelli's.,1
Beating,1
Carozza,1
chatted,3
Mongi,1
unreliable,2
Randall.,9
Textile,2
Logues.,1
shrug,3
Randall,6
Logue.,2
Emily.,12
pile?,1
Shipping,3
Greenleaf's?,1
streamlined.,1
Questa,1
lettera,1
stata,2
trovata,1
nell'abitazione,1
signor,11
Roma.,5
C'e,1
questa...,1
ragione.,2
questo,1
il,13
luogo,1
le,11
vostre,1
conversazioni,1
private!,2
homosexual?,3
non-sequitur.,1
sviluppate,1
tendenze,1
omosessuali?,1
All'aperto?,1
Col,7
freddo,1
fatto?,1
stato,1
allora?,1
Quando,1
l'ultima,1
volta,1
visto,1
Greenleaf?,3
chap,6
Dickie...,1
assunto,1
io,1
guida,1
indagini,1
seguito,1
negativa,1
valutazione,1
disdicevoli,1
circostanze,1
verificatesi,1
predecessore,1
Roverini,1
noto,1
riuscito,1
impedire,1
verificarsi,1
della,1
scomparsa,1
"Greenleaf,",1
quale,1
l'unica,1
persona,2
momento,1
passibile,1
incriminazione,1
reato,1
omicidio,1
...Tom,2
liar...,1
time!...,2
talented.,4
tender...,1
kissing.,5
Meredith?,2
"overboard,",2
"relaxed,",4
Tom!,9
"ghastly,",1
"cellar,",3
"tormented,",1
hurtful,1
coffee...?,3
fiances.,1
una,3
"fidanzata,",1
fidanzata,1
probabilmente,1
molte,1
fidanzate.,1
"fiance,",2
homosexuals.,4
"Leonardo,",1
Michelangelo,1
inconvenient.,4
difficile...,1
dormiva,1
"all'aperto,",1
un...,1
backpacking.,2
"Roma,",3
tre,2
settimane,1
fa.,1
stench,4
separate!,1
"reeks,",1
passport.,8
rumour?,1
"delighted,",1
"rumour,",1
Italian's,1
ghost...,2
bureaucracy,1
stamp,16
Piazza,3
Spagna.,1
Dinelli's?,1
Spagna?,1
travelling.,2
rowing,1
Ditto.,2
confronto,1
line-up.,2
Goldoni.,2
Alto.,1
"Sherwood,",2
Goldoni!,1
"coarse,",1
coarse.,1
fiance?,3
"Remo,",2
boatman,1
7th,5
fiance...?,1
hounded,1
photographers.,1
Postmortem?,1
se,7
dice?,1
Senta.,1
8?,1
9?,1
"shock,",8
Roverini.,1
"Knicks,",2
shit-eatin',1
market's,2
Colt,5
automatics,1
hassle.,3
$5.000,1
carry?,1
.32's,1
holster.,1
"holster,",1
.25,2
Handy,1
$125.,1
Revolver.,1
"toys,",1
"Wesson,",1
Magnum?,1
Travis?,4
Travis.,17
fare's,1
stiffness.,1
Palantine,3
Betsy.,8
Betsy...,2
...there's,5
plenty...,1
Coca-Cola.,3
"Travis,",6
"He'll,",1
Kris,3
Kristofferson.,1
singer?,3
"pusher,",4
pushed.,3
"Kristofferson,",1
"contradiction"".",1
76,4
80.,4
lasers.,1
"sized,",1
transistor,3
Zap.,1
"politicians,",2
Dough-Boy,2
DMZ?,1
DMZ.,1
planners,2
bushed.,2
folders,2
Saks.,4
taxis.,1
moon's,3
"""West",1
45th,1
"Street""",1
"organezizied""",1
"15,000",2
organizational,1
Betsy,9
mam.,3
"mam,",5
"telephones,",2
"worker,",6
"canvass,",1
done:,1
"filing,",1
canvass?,1
Palantine.,1
mam?,1
Palantine?,1
paw.,2
newsstand,4
stubs.,2
canary.,2
canary?,2
punishments,1
"pigeon,",1
canary,3
"newsstand,",3
Asbestos...,1
ratings?,2
"NBC,",2
ABC?,1
"issues,",4
Cronkite,1
Kidding,1
"Christsakes,",1
selling...,1
cars...,3
"""sexy"".",2
UPI,1
AP,1
senator's,1
Bets.,1
okays,1
releases.,1
forty-seven.,3
ju-jukes.,1
Crown,4
Cola.,2
Coca-Cola,2
malted,1
"ju-jukes,",1
"Awh,",1
"""Yeah.",1
"19,",4
"good-lookin.""",1
McCall,2
One-Ball.,1
Poly,1
Prep.,1
One-Ball,1
Dispatcher,1
dispatcher...,1
Wizard.,6
Dough-Boy?,1
hackies,1
Truck,5
Harlem,3
Specials,1
getcha,5
Lotsa,5
stiffed,2
"""Lady,",1
"bridge...""",2
"""Look,",5
checkin',2
howsit?,2
traffic's,2
Tri-boro,1
pantyhose!,1
Blush-On.,1
rouge.,2
"Blush-On,",1
"mascara,",1
"eye-shadow,",1
rouge...,1
122nd.,1
"sewer,",3
commune?,1
commune,4
Sport,4
leave'em.,1
narc?,2
scorpion?,1
scorpion.,2
commune.,3
"crashing,",1
Stars,3
Airplane,1
Libras.,1
communes,1
"Vermont,",2
Jail's,1
mighty?,1
Cancer's,1
Libra,1
Libra.,1
"""Sport""",1
nothin,3
Pittsburgh.,7
stoned.,13
Sport'll,1
greasers?,1
Sport.,2
fog!,2
cabbie?,2
Scum,1
filth.,7
sewer.,4
Flush,1
Motors.,1
stickers,1
supporters.,1
"Palantine,",1
moonlighters,1
moonlightin?,1
discharge.,3
1971.,1
Military,12
Education?,1
Physical?,2
Criminal?,1
choosy.,2
kiddin?,2
Bronx,7
misfits,3
"Subways,",1
buses.,3
Figur'd,1
whatja,1
theatres,3
Hack,4
Bureau?,1
Krinkle,1
"""K.""",1
K-R-I-N-K-L-E.,1
1/2,5
"Lawn,",1
07410.,1
.38's?,1
suspicious-looking,1
"Hillbilly,",1
Wha,5
Sport?,2
entrapment,1
$20,3
$30,1
Killer.,3
peg,3
slot,8
squirm,1
Wiz?,1
Goodspeed?,2
Carla.,6
Pestalozzi?,1
Mona=,1
Loren,1
ethnic,3
company.in,1
Goodspeed.,3
Bureau'll,1
WATER,1
PISTOL?,1
Spit,5
fieldwork.,1
"""Bill,",1
fucking=,1
"work.""",2
I=,1
Maytag,1
repairman,1
the=,1
"fuckin,",1
at=,1
wimping,1
Canterbury.,1
Imprisoned,1
Alchimadus,1
imprisoned,4
"Walton,",2
pew.,1
=,2
Hollow.,3
jouey.,1
Womack,1
pardon=,1
signed?,1
Partners.,1
Partners?,1
droll.,1
"intellect,",3
your=,1
....,59
rockets.,5
rockets,3
vou?,1
Limp,1
I.don't,1
trudges,1
tu=3Del.,1
Goodspeed,2
slinging,4
cottonmouth.,1
S.E.A.L.s,1
oil?,8
THE=,1
PHONE.,1
"KNOW,",2
HIS,19
STOCKBROKER!,1
understand....,1
"F.B.I.,",2
"Dell,",8
Delly.,5
Appleton.,9
"self-incrimination,",1
incrimination,1
just.,12
Delly...,1
"posts,",1
"gears,",2
levers...,1
projector,2
Terwilliger?,1
Kubelsky,1
Delly?,2
"untrue,",2
"Delly,",2
"Korea,",3
Rosenbergs,1
"""suspected",1
"communists""",1
"""Sand",1
"Sahara?""",1
communist?,3
Luke,35
"Luke,",24
"Lawson,",4
catalyst.,1
"hiccups,",1
hiccups,1
"object!""",1
shhhhhh...,1
"agenda,",1
Spence,1
Bothered,1
clarinet...,1
"'37,",1
Benny,7
clarinet.,1
clarinet,3
dividends.,1
smoking?,15
nine-and-a-half,1
bank...?,1
needless,3
Bijou,8
re-opening...,1
deja,5
vu.,3
Hic!,1
unlocks,1
baseman.,1
Bijou.,7
"crazy?""",2
Methodists,1
Methodist,2
Presbyterians,1
Presbyterian,1
"""Albert",2
"Trumbo.""",1
memorial,4
contradiction,4
party-run,1
refuting,2
non-responsive...,2
branded,2
"communist,",3
Angstrom...,1
Angstrom.,1
"""Lucille",2
"Angstrom.""",1
"document,",6
"Clyde,",4
"Appleton,",7
"""Bread",2
"Club?""",1
Referring,1
thirty-seven,10
photostatic,1
"Club""",1
"""blotted",1
"""accident.""",1
"amnesia,",1
"""accident,""",1
"conveniently,",1
dismissal,2
"""accident""",2
Lawson,34
"Bijou,""",1
Trumbo,2
stateside,1
Dix?,2
masquerading.,1
Trumbo...,1
masquerading,3
Lawson?,14
Trumbo?,1
"Trumbo?""",1
Chairman...,1
Amendment...,1
Appleton?,2
incurring,1
"wrath,",2
incurred,2
wrath.,2
constituted,2
forthcoming,1
god?,2
"lift,",5
Cecil.,4
Delly,1
"duck,",1
Cecil!,1
"Cecil,",2
o'god...,1
a'two,1
Cecil?,1
answers...,4
Bijou?,1
"Life?""",1
"Life.""",1
"Fitts,",2
crumbling,2
storefront,1
free-standing,1
supermarket.,1
"generous,",3
store...?,1
six-thousand,2
proceeds.,1
Roscoe,2
grocer,2
"shabby,",1
Vultures...,1
refunds.,1
reel.,2
Six-thirty.,2
Luke...,5
exact...,1
They're...,6
Cue...,1
"""Cueball.""",1
Ernie.,5
poultry...?,1
drought,2
chicken's,2
fryer,2
two-dozen,2
"eggs?""",1
"showtime,",2
"admissions,",1
"concessions,",2
$84.75...,1
"eggs.""",1
Stanwyck.,2
Yowsa.,1
"""February",1
1942.,1
'Ball,1
"Fire.'""",1
"bookkeeping,",1
re-opened.,1
"Sacramento,",3
"""television""",1
Hmmmm...,2
forty-eight.,1
Harbor.,4
seventh...,1
Trumbo.,1
"""Luke""",1
"'Sides,",5
Jer.,3
Sinclair.,4
Iskowitz.,1
Gimmee,2
bender.,1
bender?,1
Jer?,1
Zackly.,1
G-man?,1
Hoover?,1
Charms,1
"""Moby",1
"Dick.""",1
Ishmael?,1
empties,2
shutting,13
Fits,3
Lardner.,2
Am-scray.,1
rent's,3
publicly?,1
Committee's,2
Elvin,1
publicly,6
purging,2
chums.,1
Angstrom,1
Hirschfeld,1
"""Studio",1
"One""",2
college...,3
"Angstrom""",1
"amendment,",1
Luke's.,1
Un-American,1
Activities,1
hearings,2
goddammit...,1
blacklist.,2
ball?,6
"""Ashes",2
"Ashes.""",1
"Ashes?""",1
script...,2
Heart.,8
Fought?,1
Dix.,4
"""them""",2
crissakes!,1
communist!,1
"Democrat,",1
"Communist,",2
dime's,1
"Channels,",2
"""They""",3
"""they?""",4
Luke!,5
Chopin.,1
"""heaven",1
"music.""",1
"""Teach",1
"music,""",1
Nineteen-oh-nine.,1
Terwilliger,1
r-r-rent.,1
T-t-thank,1
usher's,1
"u-u-uniform,",1
h-h-hospital.,1
w-w-war.,1
"Tim?""",1
c-c-,1
m-m-matter,1
g-g-gave,1
kn-kn-know,1
w-w-will.,1
customers?,3
c-c-come,1
Frankie's,1
catching.,2
Ruskin,1
popcorn?,4
Whoever-you-are.,1
Lawson.,6
cracker.,2
morning's,4
half-over.,1
"Okinawa,",1
Kenny,7
Anzio,1
Normandy.,2
Town's,2
grandpap.,1
"""ancestors""",1
Ancestors?,1
Sinclair?,1
identity?,3
Cathy's,4
Mitch.,23
beanies.,1
Deadly.,1
upturned,1
"'Yes,",2
have.',1
Bodega,9
Bay?,7
Mitch?,13
"Annie,",31
"Oedipus,",1
displease,1
trifle.,1
distant?,1
Annie?,12
shacks,1
hillside.,3
hamlet?,1
quilt?,1
"utilitarian,",1
Lovebirds.,2
Cathy?,3
'tilling,1
soil',1
Mitch's?,1
Cathy,9
Brenner.,8
Brenner,5
Hayworth?,2
"Mitch,",9
lovebirds,5
hoods.,3
overdoing,1
"democracy,",2
"Cathy,",4
practice...,5
Cathy!,2
Cathy.,8
Fawcett,4
Brinkmeyer's,1
hectic,4
chimney!,1
puff?,2
lovebirds.,2
wanted!,6
Do...,1
trunk?,7
bandages!,1
Lois!,2
Hayworth,6
Yep?,1
Tides,1
Restaurant.,3
outboard,3
Brenners,2
Brenners?,1
Brenner?,4
pointing?,1
Smoke's,1
"8,650",1
"billion,",4
continents,1
"Count,",3
recorded...,1
crows,6
massed,1
pans,3
blackbirds.,2
Gulls!,1
eyelash.,4
Deke.,1
"Deke,",2
"Marys,",1
Deke?,1
pie!,3
gulls...,1
Steel,5
concrete!,1
rope!,7
Mitch...,8
furni...,1
wood?,4
massing,4
"birds,",6
"scratch,",4
"columns,",1
Caviat,1
"emptor,",1
Chickens,1
"chickens,",3
Brinkmeyer,1
weekend...,5
"Lovebirds,",2
Brinkmeyer's.,1
Acknowledge,1
meet...,4
"bandages,",1
chooses.,3
"breakfast,'",1
"until,",3
...Mitch,1
fret,6
Annie's,4
sips,1
reflectively.,1
Malone,3
freeway's,2
"well-lighted,",1
ordinance,2
chimney,4
"pointless,",1
Freak,3
gulls,6
gull,3
fluttering,2
bird'll,1
curtains,4
"chimneys,",1
"swift,",1
Sixty...,1
him....,9
starting...,1
movement...,2
lamps.,3
Rosa?,1
Inland.,1
heading?,1
It...,8
Rosa'll,1
...everything,2
Melanie...,2
sparrow,4
they're...,7
resting...,1
or....,1
swifts,1
berries,4
Mmm?,4
feathers.,3
wing!,1
"Hear,",3
domination?,1
Hear!,1
serious-minded,1
"rule?""",1
sparrows,2
kicks...,1
'Birds,1
unite!',1
beard...,2
malcontent.,1
Annie's?,1
"Annie's,",1
shaken.,2
"aunt,",4
Tessa.,1
veddy,3
prim,1
strait-laced.,1
myna,3
Fridays.,2
Fridays?,2
Semantics,1
travelers.,1
Travelers',1
Aid.,1
Nitro-glycerin?,1
tipsy,2
fountains,1
believe...?,1
"Brenner,",2
"lovebirds,",2
"personality.""",1
"fountain,",1
propriety,1
crowd...,2
particular...,1
"circumstance,",1
fountain.,2
columns.,2
Francisco's,2
Famished.,1
Annie...,1
With...,1
Brenner...,1
seagulls,4
bleeding?,3
loathe,7
Hayworth.,2
careful?,3
lovebirds?,3
violators,2
jokers.,2
Criminal.,1
peroxide.,2
lovebirds!,1
deliberately...,1
"Ahhh,",5
lovebird,1
practical...,1
anyplace,9
"parallel,",1
canaries,1
hangdog,1
moulting,2
ornithological,2
cages?,1
caged,3
"canaries,",1
Lovebirds...,1
strawberry,3
finches.,3
redbirds.,1
"aloof,",1
demonstrative.,2
"varieties,",1
Vehicles,2
plate?,7
DKQ,1
"MacGruder,",1
gulls?,1
unimaginable.,1
Maybe!,2
impossible?,3
Vultures?,1
Hawks?,1
gamebirds,1
"gamebirds,",1
ovens,1
jays,3
Ornithology,1
"avocation,",1
"species,",4
jay,2
"archaeopteryx,",1
Daniels;,1
To...,1
Miss...?,2
Sholes.,1
...insist,1
"mankind,",2
perching,1
brachyrhynchos.,1
blackbird,1
cyanocephalus.,1
hope...,7
"Crows,",1
blackbirds?,1
Cruz.,7
"Sebastian,",3
alarmist.,1
warfare!,1
Birds?,1
Sholes,1
"attacking,",2
gulls.,1
"gulls,",1
Sholes?,1
varieties.,1
"count,",7
Cruz,2
seagulls.,1
coats!,1
Fettes.,11
MacFarlane,18
cabman.,1
Gray?,2
mathematics,5
Georgina,4
MacFarlane's,2
Georgina's,2
Georgina?,3
intercede,1
MacFarlane.,8
Pennycuik.,2
folly.,1
Fisherman's,1
Tryst.,1
Gray--,1
yawns,1
torment.--,1
"Fettes,",8
befuddled,2
over-heels,1
"MacFarlane,",2
fey.,1
"lowlander,",1
Highlanders,1
consequence.,3
Burke?,2
Thrums.,1
roistered,1
Hare,6
Gray's,1
Mistress,3
bidding?,1
maidservant,1
Fettes,7
warned.,4
subjects.,3
reptilian,3
"opportunities,",1
mattock,1
Tosh!,1
Fettes!,1
Glencorse,1
churchyard,1
Fettes?,4
"noose,",1
Confound,1
"Child,",4
childishness,1
spine's,1
lassie,2
purgatory,2
incision,2
ribs.,2
Pulse?,1
fainting.,1
"specimen,",2
Marsh,46
Wilmont,1
intricacies,1
"""subjects""?",1
irk,1
practitioner.,1
specimens.,2
enlightenment,1
"lodgings,",1
Municipal,1
paupers,1
dissection?,1
glib,3
Richardson?,1
assistants.,3
vicar,1
Thrums,1
parish,1
Georgina.,3
Greater,5
"""good-day""?",1
daft,5
cabman,1
grave-robber.,1
torment,3
Toddy.,14
"Toddy,",6
Leith,1
sustenance.,1
drop'll,1
"malignant,",1
"crony,",1
Meg?,1
"hemp,",1
Tell!,1
Shout,1
housetops!,1
mobbed,1
Knox's,3
forgot?,6
cellars,1
graveyards?,1
flow?,2
Toddy,4
anatomist.,1
"blocks,",1
patched,1
auld,2
lang,2
syne.,1
Meg,5
"syne,",1
confounded,3
protector,3
Medicine?,3
"""Burked""",1
"""Nor",1
"guest.""",1
good-day,1
"Tosspot,",1
quarts,1
"like.""",1
cozened,2
Hare's,1
beldam,1
Hellish,1
meager,2
peddlers,2
"Scotland,",3
churchyards,1
"""Burke""",1
--I'll,2
doctor's.,1
"""subjects.""",1
diagnose.,1
"heartless,",2
Ma'am,2
undertake,2
dominie,1
incise,1
columna,1
dorsi,1
overturned.,1
Ma'am?,7
frequent.,1
sporadic,1
constant?,1
since?,5
paralysis,3
immediate?,1
Crony,1
wildness,2
lass.,2
"Meg,",1
lass?,2
Knox?,4
able.,5
illusions.,3
rosy,3
Corvis!,2
oozing,5
girlfriends?,3
toll.,2
carpet?,1
transfusion?,1
connoisseur's,1
Owned,2
DELT.,1
joint?,3
"Hole.""",1
"Dutton,",1
Erlich.,2
D-E-L-T.,1
"""Down?""",1
she',1
Corvis,5
Corvis's,2
"""thing.""",1
Construction.,3
"""yes.""",3
Answer.,4
scar?,4
Corvis.,3
Exhibit,3
creator?,2
creator.,3
Sssshhh.,2
Zombie.,5
AAAANK.,1
Scar?,3
"Scar.""",1
Officer?,5
Dutton.,2
Erin.,20
innocent...,2
ok...,2
dirtball,1
Lauren!,1
majorly,4
Doubt,6
motivation.,1
botched,6
Halloween?,2
Erlich,1
gimping,1
paramount.,1
Erin,15
accident?!,3
cab?,6
Jannie,1
Mai,3
Tais,3
License,1
earring.,1
Lauren's.,1
Erin!,1
Hilda.,2
Hilda,3
insecure?,1
8:30.,5
Carpenter?,6
ants!,3
Barnhardt!,1
noon?,1
demonstration.,5
dramatize,1
seriousness,1
force--,1
--eliminated.,1
Klaatu.,6
inter-planetary,1
Carpenter,17
meantime?,3
objection,2
Educators,1
together?.,1
peoples.,2
Leveling,1
Gibraltar,1
drastic,5
specific?,6
Klaatu?,1
aggression,3
potentiality,1
developments,3
unconcerned.,1
aggression.,5
people--,4
"tendencies,",1
Opportunity.,2
observation,5
Barnhardt,6
309.,1
heard),1
negligible...,1
"parameters,",1
reproduce,3
terms?,3
soaking!,1
smuggler?,1
Bobby--!,1
"robber,",1
gangster?,1
Barnhardt?,1
Barnhardt.,3
"""space",1
flashlight.,5
flashlight?,3
denominator,1
subtract.,1
gee,5
cones,1
Brady's,5
Brady.,5
cemeteries.,1
"Carpenter""",1
Arlington,4
Cemetery?,1
wars?,1
celestial,1
mechanics.,2
Velocity,1
velocity--,1
F-,1
36?,1
"Secretary,",2
"Barnhardt,",1
third-class,2
witch,20
expectancy,2
seventy-eight.,2
skeletal,1
"liver,",2
attitudes.,1
impatience,1
"complex,",7
harshly.,1
nations.,2
suspicions.,2
mistrust--,1
power--,2
cabled,1
replies.,1
Premier,4
"Moscow.""",1
Representation,1
"Washington.""",1
Assembly...,1
UN,11
squabbles.,1
"Harley,",1
broad-,1
produced,7
agree--,1
wrestle.,1
monitoring,9
broadcasts,1
"Lately,",1
Nations?,3
precedent.,2
distances.,1
Harley.,2
feel--,1
this'd,1
menace!,2
earth's,5
afternoon--,2
later?.,1
appraisal,2
eight-fifty.,1
Hello--,1
dependents--,1
long--?,1
"technique,",1
re-stimulate,1
refinement,1
"""Klaatu",2
barada,2
"nikto.""",2
Gort.,2
Gort?,1
robot.,2
Barnhardt's.,1
boardinghouse.,1
twelve-thirty.,2
electricity's,1
neutralized,8
flashlight,2
attention--,1
Yes--?,1
school--,4
hello--,1
"Carpenter,",5
intelligent--,1
Benson.,1
occupied.,2
Jittery.,1
Jittery,1
"Unruffled,",1
Klaatu,1
scribbles,1
blackboard!,1
G2.,1
Driver's,2
simple...,4
Professor's,4
Barnhardt's,1
blackboard.,2
Edgar!,1
<u>warp</u>,1
<u>speed</u>!,1
"T-shirt,",1
Wears,4
sunglasses,6
<u>house</u>.,1
manual...,1
"Truth,",2
Martian.,1
Carla?,4
baddest!,1
meanest!,1
monster-bashers!,1
body-count.,1
<u>Four</u>,1
annihilated,1
night-stalkin',1
burn?!,1
mind-scramble,1
talked!,1
unraveled,1
Vampiro.,1
nightcrawler.,1
bloodsucker.,1
Nosferatu?,1
werewolves,4
"Star,",6
David?!,1
Marko?,1
going',2
noodles.,3
maggots.,2
"maggots,",1
Marko.,1
Triumph.,1
Star?...,1
Star.,13
Honda,2
"250,",1
dun,1
